species,common_name,habitat,habitat_specialization,distribution,is_endemic,diet,trophic_level,size_cm,weight_kg,reproduction_rate,conservation_status,population_trend,threats,key_facts
Pygathrix nemaeus,red-shanked douc,"['evergreen forest', 'semi-evergreen forest', 'limestone forest']",specialist,"['Vietnam', 'Laos', 'Cambodia']",True,"highly folivorous, mainly buds and young leaves, mature leaves, leaf petioles, fruit, flowers from species such as acacia pruinescens, ficus racemosa, millettia nigrescens, zanthoxylum avicennae, castanopsis ceratacantha",herbivore,55.0,9.5,low,critically endangered,decreasing,"['hunting', 'habitat loss', 'pet trade', 'habitat fragmentation', 'agricultural land creation', 'military installations']","Arboreal and diurnal Old World monkey with bright coloration and sexual dimorphism in size. Lives in fission-fusion multilevel societies with mean group size of 18. Highly folivorous with specialized four-chambered stomach for bacterial fermentation. Endemic to Indochina (Vietnam, Laos, Cambodia). Critically endangered due to hunting, habitat loss, and pet trade. Largest populations in Laos. Difficult to keep in captivity with only 33 individuals worldwide."
Pygathrix cinerea,grey-shanked douc langur,"['arboreal', 'forests', 'high mountainous areas']",specialist,"['Vietnam', 'Quảng Nam', 'Quảng Ngãi', 'Bình Định', 'Kon Tum', 'Gia Lai', 'Central Vietnam']",True,"primarily folivorous, also seeds, fruits, flowers",herbivore,59.120000000000005,10.9,low,critically endangered,decreasing,"['hunting for bush meat', 'hunting for traditional medicine', 'exotic wildlife trade', 'Vietnam War impacts', 'deforestation', 'habitat fragmentation', 'climate change']","Population estimated around 1000 individuals as of 2016. Species is arboreal and diurnal, living in groups of 4 to 15. Breeding season August to December with gestation 165-190 days. Conservation efforts include captive breeding and habitat protection, but threats remain significant."
Semnopithecus ajax,Kashmir gray langur,"['temperate forests', 'alpine forests']",specialist,"['India (Chamba Valley, Himachal Pradesh)', 'Pakistan (Machiara National Park)']",False,leaf-eating,herbivore,92.58718085106382,1371.0242088757395,low,endangered,decreasing,"['restricted range', 'fragmented population', 'human agriculture', 'development activities']","Lives at highest elevation of any non-human primate (1500-4733 m). Weaning age is 25 months, longer than most Asian colobines. Interbirth interval about 2.4 years. Multimale groups occur with up to five adult males. Infanticide occasionally occurs."
Rhinopithecus strykeri,Myanmar snub-nosed monkey,"['temperate mixed forests', 'upper elevations', 'arboreal']",specialist,"['Myanmar', 'China']",False,"herbivore (consumes more than 170 plant species, fungal foods, and 15 species of lichens)",primary consumer,55.5,17.0,unknown,critically endangered,decreasing,"['deforestation', 'logging', 'hunting', 'habitat isolation']","Discovered in 2010, this species is known for its upturned nose causing sneezing in rain. It is highly arboreal, lives in temperate mixed forests at high elevations, and has a small population under 500 individuals. Conservation efforts include protected areas in Myanmar and China."
Rhinopithecus bieti,black-and-white snub-nosed monkey,"['coniferous forests', 'deciduous forests', 'mountainous regions']",specialist,"['Yunnan, China', 'Autonomous Prefecture of Tibet, China']",True,"mainly lichens, bamboo leaves, seasonal plants including rhododendron flower nectar",herbivore,57.31,9.07,low,endangered,decreasing,['habitat loss'],"Lives at highest altitude of any non-human primate (up to 4700 m), has thick fur for cold protection, specialized enzymes to digest toxic lichens, low genetic diversity due to inbreeding, restricted distribution in Nujiang Langcang Gorge alpine conifer and mixed forests."
Rhinopithecus avunculus,Tonkin snub-nosed monkey,"['primary forests', 'bamboo forests', 'broadleaf evergreen forests', 'karst limestone hilltops and mountains']",specialist,"['northern Vietnam', 'Tuyen Quang province', 'Bac Kan province', 'Ha Giang province', 'Thai Nguyen province']",True,"largely folivorous, mainly leaves from bamboo and evergreen trees, also fruits, flowers, and seeds",herbivore,58.0,11.0,low,critically endangered,decreasing,"['habitat loss', 'hunting', 'illegal logging', 'mining', 'poaching', 'wildlife black market']","Rarest of the five snub-nosed monkey species, endemic to northern Vietnam, population fewer than 250 individuals as of 2008, specialized folivorous diet with strong jaw and specialized stomach, low genetic diversity due to population bottlenecks, lives in small family groups, conservation efforts ongoing but hunting and habitat loss continue to threaten survival."
Colobus polykomos,king colobus,"['lowland tropical rainforest', 'montane tropical rainforest', 'primary forest', 'gallery forest', 'secondary forest']",specialist,"['Senegal', 'Guinea-Bissau', 'Guinea', 'Sierra Leone', 'Liberia', 'Ivory Coast', 'Gambia']",False,"mainly leaves, also fruits and flowers",herbivore,67.0,9.9,low,endangered,decreasing,"['hunting', 'habitat destruction', 'habitat fragmentation']",Arboreal Old World monkey living in small groups; primarily folivorous diet; lives in lowland and montane rainforests in West Africa; threatened by hunting and habitat loss; lifespan up to 30 years in the wild; polygynous and polygynandrous mating system with low reproductive rate.
Cercopithecus sclateri,Sclater's guenon,['forests'],specialist,['southern Nigeria'],True,primarily frugivore supplemented with other plant parts and insects,primary consumer,92.58718085106382,1371.0242088757395,unknown,vulnerable,decreasing,"['hunting', 'habitat fragmentation', 'habitat loss']",Arboreal and diurnal primate living in isolated populations between the Niger and Cross Rivers in southern Nigeria; not found in officially protected areas but some populations protected by local people due to sacred status; known in captivity only at a conservation center in Cross River State.
Cercopithecus erythrogaster,white-throated guenon,"['rainforest', 'tropical forest', 'moist tropical forest', 'wettest parts of dry tropical forest', 'secondary bush', 'old farmland']",specialist,"['Nigeria', 'Benin']",True,"frugivore with insects, leaves, and crops",primary consumer,56.65,3.5,low,endangered,decreasing,"['hunting', 'logging', 'habitat loss']","Diurnal, arboreal primate living in small groups; females give birth to one offspring; once considered extinct due to hunting for fur; rediscovered in 1988 near Niger River; present in Nigerian forest reserves and sacred groves in Benin; hunting and logging restrictions difficult to enforce."
Macaca munzala,Arunachal macaque,"['Eastern Himalayas', 'deep forest', 'high altitudes (2000-3500 m)']",specialist,"['Bhutan', 'China', 'India']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['persecution by locals', 'retaliation against crop raiding']",Discovered in 1997 and described as a new species in 2005. Lives at high altitudes (2000-3500 m) in the Eastern Himalayas. Compactly built with a very dark face. Genetically related to bonnet macaque but physically similar to Assamese and Tibetan macaques. Population estimated at 569 individuals in 35 troops.
Macaca nigra,Celebes crested macaque,"['tropical closed canopy forests', 'rain forest']",specialist,"['north Sulawesi', 'Bacan island']",True,"frugivorous with fruits (70%), leaves, buds, seeds, mushrooms, small birds and eggs, insects, worms, snails, spiders, small lizards and frogs",primary consumer,52.0,9.5,medium,critically endangered,decreasing,"['hunting for bushmeat', 'hunting as pest due to crop consumption', 'habitat loss due to rainforest clearing', 'lack of protection outside reserves']","Small macaque species with jet black skin and hairless face, unique heart-shaped rump pad, terrestrial and diurnal, lives in groups of 5-25, females outnumber males 4:1, gestation 174 days, young mature in 3-4 years, population density declined drastically since 1980, conservation efforts ongoing but species remains critically endangered."
Macaca sinica,toque macaque,"['dry zone forests', 'wet zone forests', 'montane forest patches', 'arid zones', 'lowlands', 'highlands']",specialist,['Sri Lanka'],True,"fruits, flowers, mushrooms, small animals including insects and small mammals",omnivore,92.58718085106382,1371.0242088757395,low,endangered,decreasing,"['habitat destruction', 'hunting', 'pet trade', 'conflict with farmers', 'civil war target practice']",Endemic to Sri Lanka with three subspecies adapted to different zones; social structure with dominance hierarchies; low reproduction rate with single offspring every 18 months; diet mainly frugivorous with some animal prey; threatened by habitat loss and human conflict.
Macaca silenus,lion-tailed macaque,"['tropical moist evergreen forests', 'monsoon forests', 'rainforest upper canopy']",specialist,"['Western Ghats, South India', 'Tamil Nadu', 'Kerala', 'Karnataka']",True,"omnivore (fruits, seeds, flowers, insects, snails, small vertebrates)",primary consumer/secondary consumer,51.5,6.0,low,endangered,stable,"['habitat fragmentation', 'timber harvesting', 'exotic plantations', 'roadkill', 'electrocution', 'inbreeding', 'hunting and trapping', 'human-primate conflict']","Endemic to Western Ghats, lives in hierarchical groups of 10-20, polygynous mating, gestation ~6 months, sexual maturity at 4-6 years, important seed disperser, threatened by habitat loss and fragmentation, population around 3000-3500 with conservation efforts ongoing."
Mandrillus leucophaeus,Drill,['rainforest'],specialist,"['Cross River State, Nigeria', 'southwestern Cameroon', 'Bioko Island, Equatorial Guinea']",True,"primarily frugivorous, also herbs, roots, eggs, insects, small mammals",omnivore,70.0,20.0,low,highest conservation priority of all african primates,decreasing,"['illegal commercial hunting', 'habitat destruction', 'human development']","High sexual dimorphism in weight; lives in multi-male, multi-female groups; semi-terrestrial; average longevity in captivity 28 years; population estimated between 3,000 and 8,000 in the wild."
Presbytis melalophos,black-crested Sumatran langur,"['subtropical dry forests', 'tropical dry forests', 'forest']",specialist,"['Sumatra', 'neighboring islands of Sumatra']",True,frugivorous and folivorous,herbivore,92.58718085106382,1371.0242088757395,unknown,unknown,decreasing,['habitat loss'],"The black-crested Sumatran langur is a forest dwelling primate endemic to Sumatra and nearby islands. It lost an estimated 62% of its forest habitat from 2000 to 2012. Its diet consists mainly of fruit (50-60%) and leaves, feeding from about 200 tree species. Main predators include pythons and crested serpent eagles."
Presbytis potenziani,Mentawai langur,"['subtropical dry forests', 'tropical dry forests', 'primary forests', 'secondary forests', 'dipterocarp forests', 'coconut groves']",specialist,"['Mentawai Islands, Indonesia', 'Sipora', 'North Pagai', 'South Pagai']",True,"leaves, fruits, seeds, flowers, bark, sap, fungi",herbivore,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['hunting for food', 'habitat destruction for agriculture']","Population declined by 80% over 36 years prior to 2021; groups travel about 540 meters daily; social organization varies; diet varies by forest type; conservation efforts include reserves, captive breeding, education, and law enforcement."
Presbytis chrysomelas,Sarawak surili,['tropical forest'],specialist,"['Borneo', 'Kalimantan, Indonesia', 'Sarawak, Malaysia', 'Sabah, Malaysia', 'Brunei']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['persecution', 'habitat loss']","The Sarawak surili is one of the rarest primates in the world, with a drastically declined population now only known from five sites."
Cercocebus sanjei,Sanje mangabey,"['valley forests', 'mountain slopes', 'mid-altitude evergreen forests', 'mosaic woodland with mixed semi-deciduous and evergreen trees', 'low altitude miombo woodland', 'forested valley bottoms near watercourses', 'dry, more open slopes with scattered trees, bracken and Rubus species']",specialist,"['Udzungwa Mountains, Tanzania']",True,"fruits (about 70%), seeds, nuts, ants, other invertebrates, roots, fungi",primary consumer,57.5,8.0,unknown,endangered,decreasing,"['habitat degradation', 'deforestation', 'charcoal manufacture', 'hunting for food', 'pet trade', 'trapping']","Medium-sized, semi-terrestrial Old World monkey endemic to two forests in the Udzungwa Mountains, Tanzania. Diet mainly fruit-based. Vulnerable due to ground-dwelling habits and habitat loss. Population estimated around 1300 individuals and declining."
Cercocebus chrysogaster,golden-bellied mangabey,"['swampy forests', 'humid forests']",specialist,['Democratic Republic of the Congo'],True,omnivorous (including mammalian prey),secondary consumer,92.58718085106382,1371.0242088757395,unknown,endangered,unknown,[],"Forms large, complex social groups; exhibits food sharing behavior; travels greater distances within home range compared to other Cercocebus species; behavior mostly studied in captivity."
Cercocebus galeritus,Tana River mangabey,"['riverine forest', 'gallery forest', 'floodplain forests']",specialist,['southeastern Kenya'],True,"omnivorous (leaves, seeds, fruits, insects, reptile and bird eggs)",primary consumer,62.6,10.2,low,critically endangered,decreasing,"['habitat loss', 'habitat degradation', 'human encroachment', 'agriculture expansion', 'forest fragmentation', 'hunting', 'trapping']","Endemic to fragmented riverine forests along the Tana River in Kenya; medium-sized primate with specialized dental morphology for hard nuts and seeds; lives in groups of 13-36 individuals; threatened by habitat loss due to agriculture and human activities; population estimated at 1,000-1,200 individuals; protected by Tana River Primate Reserve but suffers from poor reserve management and ongoing habitat degradation."
Trachypithecus francoisi,François' langur,"['karst topography', 'limestone cliffs', 'limestone caves', 'tropical zones', 'subtropical zones', 'evergreen forests']",specialist,"['Southwestern China', 'northeastern Vietnam']",False,"folivorous with leaves, fruits, seeds, flowers, stems, roots, bark, minerals, and insects",herbivore,55.0,6.5,low,endangered,decreasing,"['hunting', 'habitat destruction', 'fire on limestone slopes', 'predation by crested serpent eagle', 'predation by mountain hawk-eagle']","François' langur is a medium-sized, folivorous primate specialized for digesting tough leaves with a complex stomach. It lives in matriarchal groups in karst limestone habitats, with a restricted range in Southwest China and northern Vietnam. The population has declined drastically due to hunting and habitat loss, with fewer than 2,500 individuals remaining."
Trachypithecus delacouri,Delacour's langur,"['open forest', 'limestone karst terrain']",specialist,['Vietnam'],True,"folivorous with fruit, seeds, and flowers",herbivore,59.5,8.35,low,critically endangered,decreasing,"['hunting for traditional medicine', 'habitat loss', 'local tourism development']","Delacour's langur is a critically endangered, terrestrial Old World monkey endemic to northern Vietnam, specialized in limestone karst habitats, with a small and declining population primarily threatened by hunting and habitat loss."
Trachypithecus laotum,Laotian langur,"['subtropical dry forests', 'tropical dry forests', 'limestone caves', 'rocks', 'cliffs']",specialist,['Laos'],True,"herbivorous (leaves, fruits, seeds, flowers)",primary consumer,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['deforestation', 'hunting']",Endemic to Laos; arboreal primate with multi-chambered stomach for digesting plant matter; lives in limestone caves for shelter; populations have declined due to habitat loss and hunting; protected areas established in range.
Semnopithecus vetulus,Purple-faced langur,"['closed canopy forests', 'mountains', 'southwestern wet zone', 'suburban areas', 'human populated areas']",specialist,['Sri Lanka'],True,"mostly folivorous, also fruits, flowers, seeds",herbivore,67.1,7.08,unknown,critically endangered,decreasing,"['habitat loss', 'deforestation', 'urbanization', 'cropland expansion', 'grazing', 'changing agriculture', 'road production', 'soil erosion', 'poisoning from crop raiding prevention', 'hunting for medicine and food']","Endemic to Sri Lanka, arboreal Old World monkey with a mostly brown appearance and dark face. Population has drastically declined due to rapid urbanization and habitat loss. Found mostly in wet zone forests and human populated areas. Diet is primarily leaves with some fruits and flowers. Vocalizations important for communication and conservation. Four recognized subspecies with varying size and pelage."
Trachypithecus obscurus,dusky leaf monkey,['tropical forests'],specialist,"['Peninsular Malaysia', 'Myanmar', 'Thailand', 'Singapore']",False,"folivorous, primarily leaves and some fruit",herbivore,62.620000000000005,7.39,medium,endangered,decreasing,"['habitat loss', 'poaching', 'anthropogenic land use', 'road mortality', 'domesticated dog predation', 'hunting for meat', 'pet trade']",Sexually dimorphic species with males larger than females. Non-seasonal breeder with year-round reproduction. Lives in troops that split into sub-groups for foraging. Prefers leaves at higher forest canopy elevations and consumes fruit seasonally. Rapid conflict resolution behavior observed. Conservation efforts include CITES Appendix II listing and testing of canopy bridges to reduce roadkill.
Trachypithecus shortridgei,Shortridge's langur,[],unknown,"['Burma', 'China']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],The Shortridge's langur is an Old World monkey native to Burma and China.
Rungwecebus kipunji,kipunji,"['highland forests', 'mountainside trees']",specialist,['Tanzania'],True,unknown,unknown,87.5,13.0,unknown,endangered,increasing,"['logging', 'charcoal making', 'illegal hunting', 'unmanaged resource extraction', 'habitat fragmentation', 'habitat degradation', 'crop-raiding retribution hunting']",First new African monkey species discovered since 1984 and first new monkey genus described since 1923. Population increased by 65% as of 2022 due to conservation efforts. Restricted to 17.7 km2 of forest in two isolated regions in Tanzania.
Paragalago rondoensis,Rondo dwarf galago,"['subtropical dry forests', 'tropical dry forests', 'coastal dry forest', 'scrub', 'forest patches on eastern facing slopes and escarpments']",specialist,"['Tanzania', 'Zaraninge Forest within Saadani National Park, Pwani Region', 'Pande Game Reserve', 'Pugu/Kazimzumbwe, Kindondoni District, Dar es Salaam Region', 'Rondo Forest Reserve', 'Litipo Forest Reserve', 'Chitoa Forest Reserve', 'Ruawa Forest Reserve', 'Ziwani Forest Reserve']",True,"insects, fruits, flowers",primary consumer,16.904,0.1,low,critically endangered,decreasing,"['habitat loss', 'logging']",Smallest known galago weighing less than 100 grams; endemic to Tanzania with a total known distribution of 92 km2 in eight isolated forest patches; nocturnal; builds daytime sleeping nests in canopy; distinctive bottle brush tail and double unit rolling call; listed as one of The World's 25 Most Endangered Primates.
Hylobates moloch,silvery gibbon,['undisturbed rainforests'],specialist,"['Java, Indonesia']",True,"fruits, leaves, and flowers",herbivore,69.55999999999999,8.0,low,endangered,stable,"['habitat destruction', 'illegal pet trade', 'hunting of adults']",Endemic to Java; arboreal and diurnal; lives in pairs with small territories; females give birth every three years after seven months gestation; offspring mature at 8-10 years; population less than 2500 mature individuals; largest populations in protected national parks; breeding programs exist in zoos.
Hylobates pileatus,pileated gibbon,"['natural forest', 'arboreal']",specialist,"['eastern Thailand', 'western Cambodia', 'southwest Laos']",False,"fruits, leaves, small animals",primary consumer,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['habitat destruction', 'hunting', 'wildlife smuggling']",Sexual dimorphism in fur coloration; monogamous pairs; brachiates through trees; loud vocalizations for territory marking; local extinction in some areas; rescue and rehabilitation programs in place.
Hylobates albibarbis,Bornean white-bearded gibbon,['tropical forest'],specialist,['southern Borneo'],True,"frugivorous (65% fruit, 23% figs), supplemented with leaves and insects",primary consumer,43.0,6.1,low,endangered,decreasing,"['logging', 'mining', 'forest fires', 'climate change']","Small tailless ape living in small family groups with pair-bonding; uses brachiation for movement; sexual maturity at about 48 months; endangered due to habitat loss from logging and mining, and threats from forest fires and climate change."
Hylobates lar,lar gibbon,"['primary lowland tropical rain forest', 'secondary tropical rain forest', 'lowland dipterocarp forest', 'hill dipterocarp forest', 'upper dipterocarp forest', 'submontane rainforest', 'mixed deciduous bamboo forest', 'seasonal evergreen forest']",specialist,"['Indonesia', 'Laos', 'Malaysia', 'Myanmar', 'Thailand', 'possibly China (southwest Yunnan)', 'northwest Sumatra']",False,"frugivorous with significant leaves, insects, and flowers",primary consumer,92.58718085106382,1371.0242088757395,low,endangered,decreasing,"['habitat loss', 'forest clearance', 'road construction', 'agriculture', 'ecotourism', 'domesticated cattle and elephants', 'forest fires', 'subsistence logging', 'illegal logging', 'new village settlement', 'palm oil plantations', 'hunting for meat', 'capture for pet trade']","Lar gibbons are arboreal, diurnal primates with a diet mainly of fruit and leaves. They have a flexible social system with monogamous pairs and polyandrous groupings. They have a long lifespan of about 25 years in the wild and reproduce slowly with first reproduction at about 11 years. Their range is fragmented and declining, with populations possibly extinct in China."
Hylobates klossii,Kloss's gibbon,"['rain forest', 'tree canopy', 'old-growth forest']",specialist,"['Mentawai Islands, Indonesia']",True,"fruits, leaves, shoots, insects, bird eggs, small vertebrates",primary consumer,53.5,5.9,low,endangered,decreasing,"['habitat loss', 'deforestation', 'hunting by native peoples', 'poaching', 'road development', 'industrialization', 'use of air rifles']","Kloss's gibbon is an endangered, small black gibbon endemic to the Mentawai Islands. It is arboreal, diurnal, and monogamous with a low reproduction rate. The species requires undisturbed old-growth forest and is threatened primarily by habitat loss and hunting. Population has declined by 50% over 25 years."
Hylobates agilis,agile gibbon,"['rain forests', 'arboreal']",specialist,"['Indonesia (Sumatra)', 'Malaysia', 'southern Thailand']",False,"frugivorous, also leaves, flowers, insects",primary consumer,53.75,5.0,low,endangered,decreasing,"['habitat destruction', 'pet trade']",Lives in monogamous pairs with strict territory defense; brachiates with long arms; gestation about 7 months; young weaned at 2 years; maturity at 8 years.
Symphalangus syndactylus,siamang,"['lowland forest', 'mountain forest', 'rainforest']",specialist,"['Indonesia', 'Malaysia', 'Thailand']",False,"frugivorous and folivorous, mainly fruit (up to 60% in sumatran siamang), figs, durians, leaves, flowers, insects",primary consumer,90.0,14.0,low,endangered,decreasing,"['habitat loss', 'habitat fragmentation', 'palm oil plantations', 'illegal logging', 'forest fire', 'encroachment', 'human development', 'illegal pet trade', 'poaching']","Largest gibbon species, arboreal, lives in groups of up to six, monogamous and polyandrous groups, uses loud calls and throat pouch for communication, seed disperser supporting forest regeneration, threatened mainly by habitat loss and illegal pet trade."
Hoolock hoolock,Western hoolock gibbon,"['broad-leaved wet evergreen forests', 'mixed evergreen forests', 'dipterocarp forests', 'mountainous terrain']",specialist,"['Assam', 'Mizoram', 'Meghalaya', 'India', 'Bangladesh', 'Myanmar west of the Chindwin River']",False,"mostly ripe fruits, some flowers, leaves, shoots, silkworms, ants, and various insects",herbivore/omnivore,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['habitat encroachment', 'forest clearance for tea cultivation', 'slash-and-burn cultivation (jhuming)', 'hunting for food and medicine', 'capture for trade', 'forest degradation']","Western hoolock gibbon is an important seed disperser with a diet mainly of ripe fruits and insects; population declined over 90% since 1980s from over 100,000 to less than 5,000 individuals; dependent on human conservation efforts."
